initialized,iters,n,trial
yes,154.0,200,35
no,456.0,200,36
yes,21.0,200,36
no,93.0,200,37
yes,288.0,200,37
no,385.0,200,38
yes,437.0,200,38
no,121.0,200,39
yes,242.0,200,39
no,1672.0,200,40
yes,1020.0,200,40
no,79.0,200,41
yes,67.0,200,41
no,396.0,200,42
yes,1048.0,200,42
no,628.0,200,43
yes,732.0,200,43
no,3025.0,200,44
yes,7841.0,200,44
no,327.0,200,45
yes,1178.0,200,45
no,1566.0,200,46
yes,599.0,200,46
no,127.0,200,47
yes,72.0,200,47
no,147.0,200,48
yes,107.0,200,48
no,68.0,200,49
yes,102.0,200,49
no,131.0,200,50
yes,72.0,200,50
no,417.0,200,51
yes,473.0,200,51
no,89.0,200,52
yes,211.0,200,52
no,1119.0,200,53
yes,1225.0,200,53
no,77.0,200,54
yes,344.0,200,54
no,2386.0,200,55
yes,1999.0,200,55
no,495.0,200,56
yes,557.0,200,56
no,1367.0,200,57
yes,2732.0,200,57
no,49.0,200,58
yes,30.0,200,58
no,95.0,200,59
yes,117.0,200,59
no,118.0,200,60
yes,166.0,200,60
no,233.0,200,61
yes,312.0,200,61
no,99.0,200,62
yes,123.0,200,62
no,217.0,200,63
yes,137.0,200,63
no,6248.0,200,64
yes,6268.0,200,64
no,589.0,200,65
yes,717.0,200,65
no,841.0,200,66
yes,855.0,200,66
no,175.0,200,67
yes,104.0,200,67
no,202.0,200,68
yes,200.0,200,68
no,261.0,200,69
yes,813.0,200,69
no,465.0,200,70
yes,515.0,200,70
no,563.0,200,71
yes,537.0,200,71
no,152.0,200,72
yes,660.0,200,72
no,16591.0,200,73
yes,16871.0,200,73
no,33.0,200,74
yes,11.0,200,74
no,112.0,200,75
yes,294.0,200,75
no,4732.0,200,76
yes,4936.0,200,76
no,108.0,200,77
yes,198.0,200,77
no,145.0,200,78
yes,349.0,200,78
no,452.0,200,79
yes,191.0,200,79
no,409.0,200,80
yes,181.0,200,80
no,542.0,200,81
yes,648.0,200,81
no,103.0,200,82
yes,111.0,200,82
no,6649.0,200,83
yes,6903.0,200,83
no,346.0,200,84
yes,998.0,200,84
no,442.0,200,85
yes,114.0,200,85
no,288.0,200,86
yes,416.0,200,86
no,735.0,200,87
yes,324.0,200,87
no,929.0,200,88
yes,1051.0,200,88
no,35.0,200,89
yes,49.0,200,89
no,328.0,200,90
yes,192.0,200,90
no,375.0,200,91
yes,149.0,200,91
no,191.0,200,92
yes,225.0,200,92
no,102.0,200,93
yes,38.0,200,93
no,157.0,200,94
yes,189.0,200,94
no,244.0,200,95
yes,640.0,200,95
no,210.0,200,96
yes,175.0,200,96
no,114.0,200,97
yes,95.0,200,97
no,255.0,200,98
yes,1108.0,200,98
no,733.0,200,99
yes,390.0,200,99
no,2913.0,200,100
yes,2734.0,200,100
no,1095.0,500,1
yes,1125.0,500,1
no,571.0,500,2
yes,400.0,500,2
no,366.0,500,3
yes,155.0,500,3
no,465.0,500,4
yes,549.0,500,4
no,434.0,500,5
yes,285.0,500,5
no,233.0,500,6
yes,877.0,500,6
no,145.0,500,7
yes,151.0,500,7
no,130.0,500,8
yes,331.0,500,8
no,867.0,500,9
yes,475.0,500,9
no,2378.0,500,10
yes,914.0,500,10
no,154.0,500,11
yes,503.0,500,11
no,890.0,500,12
yes,247.0,500,12
no,1061.0,500,13
yes,1194.0,500,13
no,384.0,500,14
yes,440.0,500,14
no,442.0,500,15
yes,1596.0,500,15
no,164.0,500,16
yes,172.0,500,16
no,2148.0,500,17
yes,3534.0,500,17
no,4483.0,500,18
yes,3787.0,500,18
no,157.0,500,19
yes,832.0,500,19
no,421.0,500,20
yes,475.0,500,20
no,1212.0,500,21
yes,852.0,500,21
no,388.0,500,22
yes,1688.0,500,22
no,228.0,500,23
yes,815.0,500,23
no,949.0,500,24
yes,858.0,500,24
no,232.0,500,25
yes,860.0,500,25
no,337.0,500,26
yes,439.0,500,26
no,517.0,500,27
yes,669.0,500,27
no,387.0,500,28
yes,419.0,500,28
no,495.0,500,29
yes,333.0,500,29
no,247.0,500,30
yes,297.0,500,30
no,106.0,500,31
yes,116.0,500,31
no,272.0,500,32
yes,180.0,500,32
no,473.0,500,33
yes,276.0,500,33
no,542.0,500,34
yes,404.0,500,34
no,2373.0,500,35
yes,4937.0,500,35
no,5312.0,500,36
yes,4443.0,500,36
no,14347.0,500,37
yes,8630.0,500,37
no,4487.0,500,38
yes,4154.0,500,38
no,4362.0,500,39
yes,3293.0,500,39
no,12631.0,500,40
yes,2959.0,500,40
no,42.0,500,41
yes,186.0,500,41
no,362.0,500,42
yes,585.0,500,42
no,709.0,500,43
yes,1433.0,500,43
no,1369.0,500,44
yes,1499.0,500,44
no,697.0,500,45
yes,815.0,500,45
no,224.0,500,46
yes,75.0,500,46
no,225.0,500,47
yes,362.0,500,47
no,4395.0,500,48
yes,3918.0,500,48
no,100.0,500,49
yes,412.0,500,49
no,1013.0,500,50
yes,417.0,500,50
no,208.0,500,51
yes,444.0,500,51
no,3824.0,500,52
yes,5950.0,500,52
no,34561.0,500,53
yes,13277.0,500,53
no,397.0,500,54
yes,459.0,500,54
no,1909.0,500,55
yes,1417.0,500,55
no,1156.0,500,56
yes,2133.0,500,56
no,3875.0,500,57
yes,4433.0,500,57
no,766.0,500,58
yes,2645.0,500,58
no,572.0,500,59
yes,354.0,500,59
no,119.0,500,60
yes,169.0,500,60
no,562.0,500,61
yes,241.0,500,61
no,2626.0,500,62
yes,2293.0,500,62
no,1988.0,500,63
yes,1932.0,500,63
no,479.0,500,64
yes,800.0,500,64
no,486.0,500,65
yes,1024.0,500,65
no,2814.0,500,66
yes,4184.0,500,66
no,671.0,500,67
yes,485.0,500,67
no,425.0,500,68
yes,1944.0,500,68
no,1091.0,500,69
yes,655.0,500,69
no,315.0,500,70
yes,101.0,500,70
no,4323.0,500,71
yes,933.0,500,71
no,2176.0,500,72
yes,1021.0,500,72
no,1103.0,500,73
yes,531.0,500,73
no,1820.0,500,74
yes,1916.0,500,74
no,539.0,500,75
yes,1067.0,500,75
no,3120.0,500,76
yes,2867.0,500,76
no,1352.0,500,77
yes,1508.0,500,77
no,4222.0,500,78
yes,2934.0,500,78
no,444.0,500,79
yes,139.0,500,79
no,3403.0,500,80
yes,3463.0,500,80
no,9266.0,500,81
yes,28181.0,500,81
no,1086.0,500,82
yes,3761.0,500,82
no,268.0,500,83
yes,482.0,500,83
no,168.0,500,84
yes,259.0,500,84
no,5719.0,500,85
yes,2066.0,500,85
no,1486.0,500,86
yes,965.0,500,86
no,128.0,500,87
yes,213.0,500,87
no,203.0,500,88
yes,245.0,500,88
no,4871.0,500,89
yes,5111.0,500,89
no,1895.0,500,90
yes,2033.0,500,90
no,2642.0,500,91
yes,2416.0,500,91
no,3332.0,500,92
yes,4721.0,500,92
no,843.0,500,93
yes,1287.0,500,93
no,1774.0,500,94
yes,2797.0,500,94
no,489.0,500,95
yes,523.0,500,95
no,757.0,500,96
yes,640.0,500,96
no,333.0,500,97
yes,607.0,500,97
no,4400.0,500,98
yes,2721.0,500,98
no,2445.0,500,99
yes,2525.0,500,99
no,22303.0,500,100
yes,21071.0,500,100
no,8845.0,1000,1
yes,25950.0,1000,1
no,566.0,1000,2
yes,1177.0,1000,2
no,144.0,1000,3
yes,620.0,1000,3
no,2527.0,1000,4
yes,3416.0,1000,4
no,437.0,1000,5
yes,347.0,1000,5
no,2682.0,1000,6
yes,1772.0,1000,6
no,658.0,1000,7
yes,251.0,1000,7
no,1185.0,1000,8
yes,1199.0,1000,8
no,8807.0,1000,9
yes,31727.0,1000,9
no,582.0,1000,10
yes,1492.0,1000,10
no,1707.0,1000,11
yes,1108.0,1000,11
no,775.0,1000,12
yes,905.0,1000,12
no,1025.0,1000,13
yes,7706.0,1000,13
no,272.0,1000,14
yes,310.0,1000,14
no,1289.0,1000,15
yes,2822.0,1000,15
no,457.0,1000,16
yes,206.0,1000,16
no,315.0,1000,17
yes,367.0,1000,17
no,927.0,1000,18
yes,973.0,1000,18
no,1108.0,1000,19
yes,499.0,1000,19
no,2875.0,1000,20
yes,189.0,1000,20
no,2808.0,1000,21
yes,529.0,1000,21
no,1465.0,1000,22
yes,1535.0,1000,22
no,2031.0,1000,23
yes,1254.0,1000,23
no,5829.0,1000,24
yes,1687.0,1000,24
no,826.0,1000,25
yes,282.0,1000,25
no,406.0,1000,26
yes,978.0,1000,26
no,295.0,1000,27
yes,1188.0,1000,27
no,13483.0,1000,28
yes,9698.0,1000,28
no,3079.0,1000,29
yes,1849.0,1000,29
no,542.0,1000,30
yes,560.0,1000,30
no,751.0,1000,31
yes,958.0,1000,31
no,4864.0,1000,32
yes,6278.0,1000,32
no,726.0,1000,33
yes,1745.0,1000,33
no,448.0,1000,34
yes,1354.0,1000,34
no,2202.0,1000,35
yes,1500.0,1000,35
no,2101.0,1000,36
yes,1024.0,1000,36
no,735.0,1000,37
yes,996.0,1000,37
no,4577.0,1000,38
yes,2068.0,1000,38
no,697.0,1000,39
yes,115.0,1000,39
no,1866.0,1000,40
yes,1948.0,1000,40
no,2611.0,1000,41
yes,4586.0,1000,41
no,442.0,1000,42
yes,1683.0,1000,42
no,2026.0,1000,43
yes,2244.0,1000,43
no,8892.0,1000,44
yes,4530.0,1000,44
no,1040.0,1000,45
yes,4318.0,1000,45
no,548.0,1000,46
yes,664.0,1000,46
no,4371.0,1000,47
yes,568.0,1000,47
no,2016.0,1000,48
yes,1221.0,1000,48
no,1335.0,1000,49
yes,1437.0,1000,49
no,1321.0,1000,50
yes,824.0,1000,50
no,552.0,1000,51
yes,851.0,1000,51
no,75171.0,1000,52
yes,35067.0,1000,52
no,5963.0,1000,53
yes,3672.0,1000,53
no,302.0,1000,54
yes,410.0,1000,54
no,4338.0,1000,55
yes,2263.0,1000,55
no,4052.0,1000,56
yes,4340.0,1000,56
no,1098.0,1000,57
yes,1134.0,1000,57
no,2478.0,1000,58
yes,2520.0,1000,58
no,730.0,1000,59
yes,1691.0,1000,59
no,1552.0,1000,60
yes,1774.0,1000,60
no,547.0,1000,61
yes,670.0,1000,61
no,1167537.0,1000,62
yes,3467864.0,1000,62
no,729.0,1000,63
yes,260.0,1000,63
no,272.0,1000,64
yes,373.0,1000,64
no,2937.0,1000,65
yes,1329.0,1000,65
no,2172.0,1000,66
yes,9725.0,1000,66
no,5112.0,1000,67
yes,2044.0,1000,67
no,3494.0,1000,68
yes,2734.0,1000,68
no,61.0,1000,69
yes,270.0,1000,69
no,694.0,1000,70
yes,3058.0,1000,70
no,151.0,1000,71
yes,519.0,1000,71
no,7895.0,1000,72
yes,4803.0,1000,72
no,20588.0,1000,73
yes,22643.0,1000,73
no,7544.0,1000,74
yes,1806.0,1000,74
no,1626.0,1000,75
yes,155.0,1000,75
no,2022.0,1000,76
yes,2112.0,1000,76
no,3090.0,1000,77
yes,3948.0,1000,77
no,1704.0,1000,78
yes,1550.0,1000,78
no,912.0,1000,79
yes,1420.0,1000,79
no,1037.0,1000,80
yes,413.0,1000,80
no,1620.0,1000,81
yes,2835.0,1000,81
no,1605.0,1000,82
yes,1697.0,1000,82
no,6963.0,1000,83
yes,16881.0,1000,83
no,7189.0,1000,84
yes,7373.0,1000,84
no,873.0,1000,85
yes,367.0,1000,85
no,1358.0,1000,86
yes,369.0,1000,86
no,2140.0,1000,87
yes,599.0,1000,87
no,3154.0,1000,88
yes,3401.0,1000,88
no,1954.0,1000,89
yes,1420.0,1000,89
no,6392.0,1000,90
yes,30507.0,1000,90
no,3958.0,1000,91
yes,4517.0,1000,91
no,2470.0,1000,92
yes,2704.0,1000,92
no,1032.0,1000,93
yes,693.0,1000,93
no,2803.0,1000,94
yes,2949.0,1000,94
no,1692.0,1000,95
yes,1349.0,1000,95
no,2553.0,1000,96
yes,955.0,1000,96
no,2093.0,1000,97
yes,4174.0,1000,97
no,467.0,1000,98
yes,519.0,1000,98
no,169.0,1000,99
yes,213.0,1000,99
no,4335.0,1000,100
yes,4639.0,1000,100
